Date,Hours,Height,Svalbard,Tromso,Geomagnetic Event,Solar Proton Event,EXP Density,EXP Density Error,WACCM Density,EXP Magnitude,EXP Magnitude Error,WACCM Magnitude,DST Index,DST Index Gradient,Hp30 Index,Hp30 Index Gradient
2004-01-16,21.0,100,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,22.0,100,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,23.0,100,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,0.0,110,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,1.0,110,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,2.0,110,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,3.0,110,1,0,0,0,1209050096,1570787685,12774236987,9.08,9.19,10.1,-24.0,0.0,3.333,0.66
2004-01-16,4.0,110,1,0,0,0,16897100409,762183867,11397513443,10.22,8.88,10.05,-24.0,-3.0,3.667,-0.66
2004-01-16,5.0,110,1,0,0,0,14811955315,466916049,10382047346,10.17,8.66,10.01,-27.0,4.0,3.667,0.33
2004-01-16,6.0,110,1,0,0,0,20672689424,1147730667,9618394412,10.31,9.05,9.98,-23.0,4.0,3.0,0.0
2004-01-16,7.0,110,1,0,0,0,23606557179,2181225718,9158381858,10.37,9.33,9.96,-19.0,-4.0,2.333,1.0
2004-01-16,8.0,110,1,0,0,0,16401494614,1118056775,8945485614,10.21,9.04,9.95,-23.0,1.0,3.0,0.33
2004-01-16,9.0,110,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,10.0,110,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,11.0,110,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,12.0,110,1,0,0,0,148532952178,43151733265,9233933213,11.17,10.63,9.96,-32.0,9.0,4.0,-0.33
2004-01-16,13.0,110,1,0,0,0,12899318928,507771126,9356965798,10.11,8.7,9.97,-23.0,-1.0,3.333,-0.33
2004-01-16,14.0,110,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,15.0,110,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,16.0,110,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,17.0,110,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,18.0,110,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,19.0,110,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,20.0,110,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,21.0,110,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,22.0,110,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,23.0,110,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,0.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,1.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,2.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,3.0,120,1,0,0,0,1147040192,1388927080,15771336014,9.05,9.14,10.19,-24.0,0.0,3.333,0.66
2004-01-16,4.0,120,1,0,0,0,21130447696,323611258,14567054469,10.32,8.51,10.16,-24.0,-3.0,3.667,-0.66
2004-01-16,5.0,120,1,0,0,0,18712131281,618024292,13725463059,10.27,8.79,10.13,-27.0,4.0,3.667,0.33
2004-01-16,6.0,120,1,0,0,0,22777344008,208297581,12968318886,10.35,8.31,10.11,-23.0,4.0,3.0,0.0
2004-01-16,7.0,120,1,0,0,0,25566716931,370775763,12487708821,10.4,8.56,10.09,-19.0,-4.0,2.333,1.0
2004-01-16,8.0,120,1,0,0,0,17178591091,637488664,12383116603,10.23,8.8,10.09,-23.0,1.0,3.0,0.33
2004-01-16,9.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,10.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,11.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,12.0,120,1,0,0,0,259637765765,77121185152,12832966603,11.41,10.88,10.1,-32.0,9.0,4.0,-0.33
2004-01-16,13.0,120,1,0,0,0,13014626901,311238596,12898398350,10.11,8.49,10.11,-23.0,-1.0,3.333,-0.33
2004-01-16,14.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,15.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,16.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,17.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,18.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,19.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,20.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,21.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,22.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,23.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,0.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,1.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,2.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,3.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,4.0,90,1,0,0,0,9422138248,802825683,7718375171,9.97,8.9,9.88,-25.0,2.0,3.667,-1.0
2004-01-17,5.0,90,1,0,0,0,12115675696,343485317,7104501650,10.08,8.53,9.85,-23.0,-2.0,3.0,1.0
2004-01-17,6.0,90,1,0,0,0,9104817249,324287971,9464076059,9.95,8.51,9.97,-25.0,0.0,3.0,0.66
2004-01-17,7.0,90,1,0,0,0,8768467157,342510978,6227325339,9.94,8.53,9.79,-25.0,-2.0,3.667,0.0
2004-01-17,8.0,90,1,0,0,0,7979382704,690985281,6055582260,9.9,8.83,9.78,-27.0,-5.0,2.333,1.0
2004-01-17,9.0,90,1,0,0,0,8222273089,1125140653,6068053064,9.91,9.05,9.78,-32.0,11.0,3.0,0.33
2004-01-17,10.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,11.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,12.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,13.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,14.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,15.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,16.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,17.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,18.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,19.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,20.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,21.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,22.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,23.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,0.0,100,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,1.0,100,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,2.0,100,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,3.0,100,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,4.0,100,1,0,0,0,12624324670,975255557,9171092657,10.1,8.98,9.96,-25.0,2.0,3.667,-1.0
2004-01-17,5.0,100,1,0,0,0,16346935218,423890810,8399173214,10.21,8.62,9.92,-23.0,-2.0,3.0,1.0
2004-01-17,6.0,100,1,0,0,0,12207004854,410696999,11494045865,10.08,8.61,10.06,-25.0,0.0,3.0,0.66
2004-01-17,7.0,100,1,0,0,0,11741845093,447906828,7282753595,10.06,8.65,9.86,-25.0,-2.0,3.667,0.0
2004-01-17,8.0,100,1,0,0,0,10593831223,937599692,7079750299,10.02,8.97,9.85,-27.0,-5.0,2.333,1.0
2004-01-17,9.0,100,1,0,0,0,10830870047,1520706546,7107121158,10.03,9.18,9.85,-32.0,11.0,3.0,0.33
2004-01-17,10.0,100,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,11.0,100,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,12.0,100,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,13.0,100,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,14.0,100,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,15.0,100,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,16.0,100,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-17,17.0,100,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
