DATE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2004-03-06,-1,-1.0,0,2,3,1,-1.0,1,4.0,9,10.0,9.0,9.0,10,10.0,9,8.0,7.0,9.0,10.0,8.0,9.0,11.0,11
2004-03-07,7,5.0,5,3,3,3,7.0,8,8.0,8,8.0,5.0,6.0,6,5.0,4,7.0,6.0,7.0,6.0,4.0,1.0,-2.0,-3
2004-03-08,-1,-1.0,2,4,5,5,4.0,1,-5.0,-2,0.0,0.0,0.0,1,2.0,2,2.0,3.0,3.0,3.0,4.0,4.0,5.0,4
2004-03-09,3,3.0,3,4,2,2,7.0,9,3.0,3,7.0,18.0,12.0,7,-4.0,-17,-28.0,-42.0,-58.0,-53.0,-40.0,-49.0,-70.0,-72
2004-03-10,-60,-60.0,-62,-72,-70,-78,-63.0,-60,-70.0,-57,-53.0,-46.0,-42.0,-41,-47.0,-43,-41.0,-37.0,-36.0,-43.0,-38.0,-43.0,-40.0,-42
2004-03-11,-42,-36.0,-32,-33,-36,-36,-31.0,-28,-24.0,-24,-20.0,-19.0,-19.0,-19,-18.0,-36,-37.0,-46.0,-38.0,-42.0,-47.0,-52.0,-62.0,-63
2004-03-12,-51,-50.0,-46,-51,-48,-47,-39.0,-40,-34.0,-32,-33.0,-29.0,-29.0,-27,-28.0,-27,-30.0,-30.0,-27.0,-25.0,-26.0,-26.0,-24.0,-23
2004-03-13,-25,-27.0,-26,-25,-22,-21,-30.0,-35,-36.0,-25,-24.0,-30.0,-28.0,-32,-35.0,-37,-34.0,-32.0,-29.0,-28.0,-33.0,-36.0,-34.0,-34
2004-03-14,-30,-28.0,-27,-26,-26,-28,-26.0,-24,-25.0,-26,-27.0,-34.0,-34.0,-24,-22.0,-24,-24.0,-23.0,-26.0,-34.0,-35.0,-36.0,-37.0,-36
2004-03-15,-31,-28.0,-28,-27,-29,-28,-23.0,-21,-20.0,-23,-22.0,-24.0,-23.0,-20,-14.0,-16,-21.0,-22.0,-28.0,-27.0,-18.0,-24.0,-25.0,-27
2004-03-16,-23,-24.0,-22,-20,-20,-24,-23.0,-16,-11.0,-10,-11.0,-14.0,-14.0,-17,-18.0,-14,-16.0,-13.0,-10.0,-12.0,-20.0,-23.0,-27.0,-27
2004-03-17,-27,-26.0,-21,-18,-22,-24,-20.0,-14,-10.0,-10,-12.0,-16.0,-16.0,-15,-12.0,-10,-8.0,-7.0,-8.0,-11.0,-14.0,-18.0,-18.0,-16
2004-03-18,-22,-22.0,-23,-25,-27,-25,-27.0,-26,-22.0,-19,-15.0,-15.0,-15.0,-16,-17.0,-16,-17.0,-15.0,-16.0,-22.0,-28.0,-26.0,-17.0,-13
2004-03-19,-13,-16.0,-17,-13,-14,-15,-14.0,-8,-2.0,-1,-1.0,-5.0,-6.0,-8,-9.0,-9,-8.0,-10.0,-10.0,-7.0,-6.0,0.0,3.0,3
2004-03-20,3,-2.0,-13,-15,-13,-9,-7.0,-4,-3.0,-3,-2.0,0.0,-1.0,-3,1.0,-1,-8.0,-6.0,-5.0,-11.0,-16.0,-18.0,-15.0,-11
2004-03-21,-10,-10.0,-6,-5,-5,-5,-5.0,-6,-3.0,-5,-4.0,-12.0,-19.0,-17,-12.0,-10,-14.0,-16.0,-15.0,-13.0,-12.0,-12.0,-8.0,-6
2004-03-22,-3,-6.0,-12,-11,-11,-7,-10.0,-9,-5.0,-6,-4.0,-5.0,-8.0,-8,-7.0,-7,-6.0,-6.0,-5.0,-6.0,-11.0,-13.0,-18.0,-24
2004-03-23,-24,-19.0,-14,-11,-9,-11,-12.0,-9,-5.0,-5,-5.0,-2.0,-1.0,-1,0.0,-1,-2.0,-3.0,-7.0,-10.0,-8.0,-9.0,-10.0,-10
2004-03-24,-6,-3.0,-5,0,-1,-1,-2.0,2,4.0,4,4.0,3.0,2.0,2,1.0,1,1.0,3.0,8.0,8.0,9.0,10.0,9.0,11
2004-03-25,13,10.0,9,10,11,11,13.0,13,13.0,10,11.0,14.0,15.0,17,16.0,17,16.0,13.0,5.0,5.0,9.0,15.0,14.0,12
2004-03-26,14,15.0,11,12,12,13,13.0,14,13.0,8,6.0,8.0,9.0,0,-9.0,-15,-12.0,-9.0,-3.0,-6.0,-13.0,-10.0,-6.0,-6
2004-03-27,-5,-6.0,-7,-4,1,3,3.0,2,8.0,9,3.0,-5.0,-2.0,-1,0.0,-4,-6.0,-20.0,-17.0,-12.0,-12.0,-15.0,-35.0,-35
2004-03-28,-29,-26.0,-26,-33,-38,-34,-25.0,-21,-25.0,-27,-25.0,-23.0,-19.0,-17,-16.0,-17,-18.0,-20.0,-22.0,-22.0,-19.0,-19.0,-19.0,-17
2004-03-29,-14,-12.0,-14,-16,-16,-14,-11.0,-6,-6.0,-12,-13.0,-8.0,-3.0,-7,-13.0,-14,-17.0,-14.0,-10.0,-9.0,-8.0,-9.0,-11.0,-10
2004-03-30,-8,-5.0,-5,-6,-8,-7,-10.0,-9,-9.0,-6,-12.0,-17.0,-18.0,-19,-20.0,-18,-15.0,-12.0,-12.0,-13.0,-12.0,-10.0,-9.0,-9
2004-03-31,-11,-11.0,-10,-8,-7,-5,-4.0,0,-2.0,-1,-1.0,-3.0,-4.0,-6,-9.0,-11,-13.0,-13.0,-13.0,-13.0,-10.0,-7.0,-8.0,-9.0
2004-04-01,-6,-4.0,-2,-2,-3,-3,-3.0,-1,-1.0,0,-2.0,-5.0,-6.0,-9,-7.0,-3,-1.0,-1.0,-3.0,-6.0,-5.0,-2.0,-1.0,-1
2004-04-02,-1,1.0,4,7,9,10,7.0,9,11.0,10,8.0,4.0,5.0,6,5.0,2,1.0,0.0,2.0,4.0,4.0,4.0,3.0,5
2004-04-03,7,9.0,5,-2,-6,-11,-10.0,-12,-11.0,-7,-8.0,-6.0,-1.0,-6,10.0,5,-15.0,-39.0,-64.0,-80.0,-69.0,-82.0,-92.0,-104
2004-04-04,-117,-99.0,-79,-73,-68,-64,-61.0,-56,-50.0,-41,-39.0,-36.0,-25.0,-21,-20.0,-10,-14.0,-14.0,-12.0,-8.0,-8.0,-15.0,-18.0,-10
2004-04-05,-11,-9.0,-6,-4,-2,-1,0.0,1,4.0,3,-2.0,-3.0,0.0,-6,-17.0,-16,-11.0,-32.0,-51.0,-62.0,-60.0,-57.0,-57.0,-52
2004-04-06,-57,-57.0,-39,-33,-35,-50,-58.0,-52,-46.0,-44,-47.0,-50.0,-45.0,-47,-43.0,-42,-44.0,-47.0,-46.0,-42.0,-38.0,-37.0,-36.0,-36
2004-04-07,-33,-30.0,-29,-26,-26,-21,-18.0,-18,-17.0,-20,-25.0,-27.0,-25.0,-23,-20.0,-19,-22.0,-21.0,-22.0,-23.0,-20.0,-25.0,-27.0,-29
2004-04-08,-28,-23.0,-20,-18,-16,-19,-18.0,-18,-21.0,-21,-25.0,-24.0,-19.0,-20,-21.0,-21,-25.0,-25.0,-27.0,-24.0,-20.0,-20.0,-19.0,-11
2004-04-09,-8,-15.0,-14,-19,-27,-19,-10.0,-18,-14.0,-20,-16.0,-11.0,-8.0,-10,-13.0,-13,-13.0,-12.0,-13.0,-10.0,-9.0,-13.0,-12.0,-11
2004-04-10,-10,-9.0,-10,-8,-6,-10,-15.0,-14,-12.0,-16,-16.0,-13.0,-7.0,-5,-5.0,-5,-4.0,-3.0,-3.0,-5.0,1.0,-8.0,-12.0,-7
2004-04-11,-11,-16.0,-28,-22,-15,-11,-9.0,-4,-8.0,-9,-11.0,-11.0,-10.0,-9,-8.0,-10,-15.0,-19.0,-17.0,-15.0,-15.0,-19.0,-18.0,-17
2004-04-12,-22,-25.0,-20,-15,-11,-10,-17.0,-14,-8.0,-12,-11.0,-8.0,-7.0,-7,-9.0,-12,-11.0,-10.0,-2.0,-7.0,-5.0,-5.0,-7.0,-10
2004-04-13,-14,-15.0,-12,-7,-6,-8,-8.0,-7,-6.0,-8,-10.0,-8.0,-11.0,-13,-11.0,-10,-12.0,-11.0,-10.0,-10.0,-7.0,-8.0,-10.0,-9
2004-04-14,-9,-8.0,-8,-5,-3,-2,-2.0,-4,-4.0,0,0.0,3.0,3.0,0,-1.0,-3,-4.0,-5.0,-8.0,-9.0,-9.0,-5.0,-4.0,-1
2004-04-15,-1,0.0,1,1,4,7,9.0,12,11.0,13,14.0,6.0,1.0,-1,-3.0,-5,-6.0,-6.0,-7.0,-7.0,-7.0,-7.0,-8.0,-8
2004-04-16,-6,-3.0,1,7,3,-1,-17.0,-28,-30.0,-30,-23.0,-25.0,-28.0,-26,-22.0,-21,-17.0,-19.0,-17.0,-19.0,-20.0,-19.0,-18.0,-15
2004-04-17,-13,-12.0,-12,-11,-9,-4,-4.0,-2,-2.0,-4,-5.0,-4.0,0.0,1,-1.0,-1,-2.0,-3.0,-7.0,-13.0,-18.0,-18.0,-11.0,-11
2004-04-18,-9,-9.0,-7,-5,-6,-9,-10.0,-7,-6.0,-7,-9.0,-12.0,-11.0,-14,-18.0,-15,-8.0,-10.0,-17.0,-18.0,-16.0,-14.0,-14.0,-15
2004-04-19,-15,-14.0,-14,-12,-7,-10,-10.0,-8,-8.0,-6,-7.0,-7.0,-4.0,1,2.0,-1,-4.0,-6.0,-6.0,-5.0,-7.0,-8.0,-8.0,-6
2004-04-20,-4,1.0,3,4,6,7,5.0,3,-1.0,0,2.0,4.0,4.0,5,9.0,11,11.0,14.0,15.0,17.0,16.0,16.0,19.0,17
2004-04-21,7,7.0,9,11,10,7,10.0,9,8.0,6,4.0,2.0,0.0,0,2.0,1,3.0,4.0,2.0,1.0,5.0,5.0,5.0,5
2004-04-22,7,8.0,9,11,16,15,16.0,14,12.0,14,15.0,15.0,12.0,14,15.0,14,15.0,17.0,16.0,16.0,19.0,18.0,16.0,15
2004-04-23,14,13.0,7,12,9,13,19.0,24,16.0,-2,2.0,11.0,8.0,-13,-28.0,-36,-32.0,-26.0,-21.0,-21.0,-22.0,-28.0,-24.0,-22
2004-04-24,-19,-15.0,-13,-11,-11,-8,-7.0,-11,-7.0,7,0.0,-1.0,4.0,-4,-3.0,-2,0.0,4.0,3.0,2.0,-1.0,-5.0,0.0,0
2004-04-25,0,-2.0,-2,1,-3,-5,-7.0,-6,-15.0,-18,-20.0,-14.0,-8.0,-10,-12.0,-14,-12.0,-7.0,-6.0,-3.0,-2.0,-4.0,-6.0,-6
2004-04-26,-7,-8.0,-9,-8,-4,-4,-1.0,-1,-3.0,-1,0.0,1.0,0.0,-3,-5.0,-6,5.0,8.0,8.0,0.0,0.0,1.0,4.0,4
