DATE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
15/03/2011,-10,-10.0,-10,-9,-8,-8,-9.0,-10,-10.0,-9,-8.0,-7.0,-6.0,-5,-5.0,-5,-5.0,-5.0,-4.0,-4.0,-3.0,-2.0,0.0,1
16/03/2011,2,1.0,1,1,0,0,-2.0,-1,-2.0,-1,0.0,2.0,2.0,0,-1.0,-1,0.0,-1.0,0.0,-1.0,-2.0,0.0,2.0,5
17/03/2011,6,4.0,-2,-2,-8,-6,-1.0,0,2.0,2,4.0,6.0,9.0,9,9.0,9,7.0,7.0,6.0,-4.0,-10.0,-7.0,-5.0,-6
18/03/2011,-5,-7.0,-8,-8,-6,-4,-3.0,-3,-2.0,0,2.0,2.0,1.0,-1,-3.0,-4,-4.0,-2.0,-4.0,-5.0,-7.0,-8.0,-9.0,-10
19/03/2011,-10,-12.0,-11,-5,-3,-2,-2.0,0,3.0,6,6.0,7.0,8.0,11,10.0,10,9.0,11.0,11.0,7.0,3.0,1.0,0.0,-2
20/03/2011,-5,-6.0,-3,0,-2,0,-2.0,-1,-2.0,-1,-2.0,-5.0,-4.0,-6,-7.0,-8,-9.0,-11.0,-13.0,-14.0,-16.0,-17.0,-14.0,-11
21/03/2011,-10,-12.0,-13,-11,-7,-8,-8.0,-6,-5.0,-3,-4.0,-4.0,-3.0,-1,1.0,1,-2.0,-1.0,1.0,2.0,1.0,1.0,-6.0,-16
22/03/2011,-18,-11.0,-10,-9,-7,-3,8.0,10,10.0,9,8.0,3.0,6.0,8,10.0,9,8.0,9.0,7.0,9.0,9.0,9.0,9.0,9
23/03/2011,8,5.0,-3,-1,-4,-8,-8.0,-5,-6.0,-10,-10.0,-3.0,-2.0,-2,-5.0,-8,-14.0,-13.0,-9.0,-9.0,-8.0,-8.0,-5.0,-3
24/03/2011,-1,1.0,1,0,-1,0,1.0,-2,-4.0,-3,-1.0,-2.0,-3.0,-1,1.0,2,2.0,2.0,3.0,5.0,2.0,0.0,-2.0,-3
